,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
10029546,10029546,2021-06-15 19:24:40.127223+00:00,x,y,2021-07-23 17:00:00+00:00,2021-07-23 18:59:00+00:00,gamma,True,20.0,1,c-6,10029546,6620.0
13732076,13732076,2021-07-10 02:33:39.966495+00:00,x,y,2021-07-13 05:00:00+00:00,2021-07-13 06:55:00+00:00,beta,True,40.0,0,b-1,13732076,15390.0
4670699,4670699,2021-04-17 01:56:55.252825+00:00,x,y,2021-04-19 05:00:00+00:00,2021-04-19 07:00:00+00:00,gamma,True,20.0,1,c-2,4670699,7640.0
20958556,20958556,2021-08-25 16:57:57.890080+00:00,x,y,2021-09-26 17:00:00+00:00,2021-09-26 18:59:00+00:00,gamma,True,20.0,2,c-6,20958556,7870.0
3558166,3558166,2021-03-19 19:43:50.090062+00:00,x,y,2021-04-13 17:00:00+00:00,2021-04-13 18:59:00+00:00,gamma,True,20.0,1,c-6,3558166,9800.0
14089972,14089972,2021-07-12 10:09:55.467682+00:00,x,y,2021-07-13 10:00:00+00:00,2021-07-13 12:00:00+00:00,alpha,True,15.0,1,a-7,14089972,14945.0
16774117,16774117,2021-08-01 14:50:46.299327+00:00,x,y,2021-08-11 13:00:00+00:00,2021-08-11 15:00:00+00:00,alpha,True,35.0,1,a-9,16774117,8381.0
4995325,4995325,2021-04-20 12:16:05.030258+00:00,x,y,2021-05-18 13:30:00+00:00,2021-05-18 15:30:00+00:00,alpha,True,35.0,1,a-5,4995325,8290.0
6920873,6920873,2021-05-16 10:58:00.518089+00:00,x,y,2021-06-04 05:00:00+00:00,2021-06-04 07:00:00+00:00,alpha,True,35.0,1,a-1,6920873,6995.0
1274872,1274872,2021-02-04 15:47:08.341028+00:00,x,y,2021-02-09 16:00:00+00:00,2021-02-09 18:10:00+00:00,alpha,True,20.0,1,a-7,1274872,9799.0
3349021,3349021,2021-03-16 06:49:23.150231+00:00,x,y,2021-04-29 05:00:00+00:00,2021-04-29 07:00:00+00:00,alpha,True,15.0,1,a-1,3349021,9798.0
